,0,1
210_-40_4_0,-1.3581538853014649e-05,-9.678908011862006e-05
210_-40_5_0,-2.2761960741785858e-05,-3.0750093550374704e-05
210_-50_6_0,-6.420574197537974e-06,-2.4583928962009142e-05
210_-60_7_0,-3.978406706370352e-06,-4.30699358772355e-05
210_-60_8_0,-7.612084486252013e-06,-1.4056885439278606e-05
210_-70_9_0,-1.0034518488670676e-05,-1.0106640979624927e-05
210_-80_-9_0,-1.7189842467619618e-06,-2.8818874869344544e-06
210_-70_-7_0,0.0,0.0
210_-60_-6_0,0.0,0.0
210_-60_-5_0,0.0,0.0
210_-50_-4_0,-5.449027202049822e-06,-4.714860437583929e-05
210_-50_-3_0,0.0,0.0
210_-50_-2_0,0.0,0.0
210_-50_-1_0,0.0,0.0
210_-50_0_0,0.0,0.0
140_-50_2_0,0.0,0.0
140_-50_3_0,-1.1221748822696744e-07,-1.2250990113449098e-07
140_-60_5_0,0.0,0.0
140_-80_8_0,-1.640324859591398e-07,-1.8584359262243261e-07
140_-90_9_0,0.0,0.0
140_-100_10_0,-144.4380971234599,-686.2600000000116
140_-100_-9_0,0.0,0.0
140_-100_-8_0,0.0,0.0
140_-90_-7_0,0.0,0.0
140_-80_-6_0,0.0,0.0
140_-80_-5_0,0.0,0.0
140_-70_-4_0,0.0,0.0
130_-70_-3_0,0.0,0.0
130_-70_-2_0,0.0,0.0
130_-70_-1_0,0.0,0.0
120_-70_0_0,0.0,0.0
120_-70_1_0,0.0,0.0
110_-70_2_0,0.0,0.0
110_-70_3_0,0.0,0.0
110_-80_4_0,0.0,0.0
100_-80_5_0,0.0,0.0
100_-90_6_0,0.0,0.0
90_-100_7_0,0.0,0.0
90_-100_8_0,0.0,0.0
90_-110_9_0,-4.194303070514919,-8.748235679654746e-08
80_-120_10_0,-42.7173473319226,-100.0
80_-130_10_0,-42.1594584324193,-480.3400000001867
70_-140_10_0,-59.65413951608036,-531.3100000001434
70_-150_10_0,-53.144100000000016,-100.0
70_-160_10_0,-120.50765156491691,0.0
60_-170_10_0,-130.28513627910104,-581.4700000001008
60_-180_10_0,-186.06762347164042,-635.6500000000547
50_-240_10_0,-905.369935600004,-43.38933352762595
280_40_-9_0,-0.0031208260309717765,-0.0020784602200913434
280_50_-8_0,-0.001524373062432863,-0.0018770168726449494
280_60_-6_0,-0.0004096060497322834,-0.00043273190345577184
280_70_-5_0,-0.0008701683886211514,-0.0009212113574458526
280_70_-4_0,-0.0003308677927107468,-0.0005546153139311001
280_70_-3_0,-0.0006513540539996644,-0.001030249817240599
280_80_-1_0,-0.000728636357944975,-0.0006977703499446476
280_80_0_0,-0.0011183742321044091,-0.001277882002574273
280_70_2_0,-0.0016263229243493299,-0.0016196798822859218
280_70_3_0,-0.0019187206464284282,-0.0019327162718094822
210_70_4_0,-0.003973484421731386,-0.00674872980424978
210_60_5_0,-0.004533998120376668,-0.005146149737088126
210_50_7_0,-0.005353738482031595,-0.00544296250681146
210_40_8_0,-0.00988060691407829,-0.0039574732869673114
210_30_9_0,-0.0032424533114979327,-0.007212945679449311
210_20_10_0,-0.008172946999328492,-0.005795063438592129
140_-80_-9_0,-1.8342385081849654e-08,-1.862793205064773e-07
140_-70_-8_0,-1.2375406446140583e-05,-8.570768177934184e-06
140_-60_-6_0,0.0,0.0
140_-50_-5_0,-0.0001400308279216159,-0.0005774694778939395
140_-50_-4_0,-7.5864831563464e-38,-2.3719847582236642e-23
140_-50_-3_0,0.0,0.0
140_-40_-1_0,-7.432643915076316e-05,-0.011243104312888755
140_-40_0_0,-1.938969575061385e-09,-1.7045915250614652e-09
140_-50_4_0,-2.0818001490943147e-06,-0.00019091336673244695
140_-70_7_0,-3.400134763347364e-06,-9.252162472383819e-06
130_-80_8_0,0.0,0.0
130_-90_9_0,-690.8500000000078,0.0
130_-100_10_0,-690.8500000000078,0.0
280_70_-9_0,-0.004011962406258166,-0.005776168317442116
280_80_-8_0,-0.0034250955679267503,-0.0067287459565317995
280_90_-7_0,-0.0029920858051016275,-0.0031183680777646327
