,0,1
280_0_-9_0,-0.0035332695430138708,-0.003665474942592677
280_0_-8_0,-0.0022091423898044854,-0.002974842138000815
280_10_-7_0,-0.0023807017907319424,-0.0030540971354293686
280_20_-6_0,-0.0027535551975582215,-0.003133941055147432
280_20_-5_0,-0.0026492619247104965,-0.0033736019044880937
280_30_-4_0,-0.0037741102149102587,-0.003928710807035251
280_30_-3_0,-0.0031092183833598503,-0.003441765556716016
280_30_-2_0,-0.0031035830117837385,-0.003536830648294477
280_30_-1_0,-0.003339328737427669,-0.003601556354281129
280_30_0_0,-0.0040459682784317295,-0.004273049828604507
280_30_1_0,-0.005156308926702273,-0.006870984743371731
280_30_2_0,-0.005661902007222773,-0.00979412081913123
280_30_3_0,-0.008005905246805495,-0.008825704997708492
210_20_4_0,-0.00622155556287724,-0.0087531911678866
210_20_5_0,-0.0066099419729197875,-0.01563615628831404
210_10_6_0,-0.006540815154794103,-0.011274555076361515
210_0_7_0,-0.009635786288924975,-0.009300157521277528
210_0_8_0,-0.0064918454100173235,-0.0065585211980981875
210_-10_9_0,-0.009492424552421875,-0.00834124808011092
210_-20_10_0,-0.009864655718720123,-0.008197145288363591
210_-30_10_0,-0.006791418308874598,-0.008347064793424546
210_-40_10_0,-0.007134214730880786,-0.008655620143227039
210_-50_10_0,-449.73553166001324,-0.006809886910474545
210_-60_10_0,-689.8900000000085,-76.53318851626832
210_-70_10_0,-0.00014694496791539628,-0.00015082968268388078
210_-80_10_0,-293.4944940832889,-0.00018204661291368226
210_-90_10_0,-172.67223831977896,-690.8500000000078
210_-100_10_0,-698.1100000000016,-33.686142683897316
210_-110_10_0,0.0,0.0
210_-120_10_0,0.0,0.0
210_-130_10_0,-699.0700000000007,0.0
140_-140_10_0,-699.0700000000007,0.0
280_30_-9_0,-0.012983068071638078,-0.007507585762818582
280_40_-8_0,-0.0063881817161597215,-0.006883443952851539
280_40_-7_0,-0.005468475570859346,-0.009621033930595092
280_50_-6_0,-0.005842792325002763,-0.010799189384214296
280_50_-5_0,-0.007318176098672694,-0.007988626225394516
280_60_-4_0,-0.0074212300475467235,-0.007959207196557476
280_60_-3_0,-0.008652976796768005,-0.009364245009565553
280_60_-2_0,-0.009143130896439536,-0.009472854847413966
280_60_-1_0,-0.009437672345891225,-0.01003229454692755
280_60_0_0,-0.01003760613849876,-0.011536496146701268
280_60_1_0,-0.01164479929991041,-0.017032333010244764
280_60_2_0,-0.013206123314961014,-0.015089182599804199
280_60_3_0,-0.01738357980690864,-0.018335598912418496
210_50_4_0,-0.012152624846611566,-0.024803042663699537
210_50_5_0,-0.01717474205757614,-0.03397473390337756
210_40_6_0,-0.00903293433664321,-0.030370177973845808
210_40_7_0,-0.023317956806309444,-0.03267164397613804
210_30_8_0,-0.014131032132454362,-0.02541238861965201
210_20_9_0,-0.007570594643634463,-0.01655519634845064
210_10_10_0,-0.007577587076459506,-0.015570085257290913
210_0_10_0,-0.007157736765113444,-0.010469659581474042
210_-10_10_0,-0.0072749953888933475,-0.01580076529377227
140_-110_10_0,-25.98399357836108,-757.9192329369323
280_50_-7_0,-0.008951779493031595,-0.010962804008152832
280_60_-5_0,-0.00875443492403197,-0.009397215460363288
280_70_-2_0,-0.010514085133093681,-0.011749752019989824
280_70_-1_0,-0.011708146329145809,-0.011904102709271558
280_70_0_0,-0.012387112417657269,-0.014239028730096498
280_70_1_0,-0.015304395098704581,-0.01612650042556137
210_60_4_0,-0.018894985346997614,-0.02407853820245042
210_50_6_0,-0.021223115396293683,-0.04620035612579802
140_-90_-9_0,0.0,0.0
140_-80_-8_0,0.0,0.0
140_-70_-7_0,0.0,0.0
140_-70_-6_0,0.0,0.0
140_-60_-5_0,0.0,0.0
140_-60_-4_0,0.0,0.0
140_-60_-3_0,0.0,0.0
140_-50_-2_0,0.0,0.0
140_-50_-1_0,0.0,0.0
140_-50_0_0,0.0,0.0
140_-50_1_0,0.0,0.0
140_-60_2_0,0.0,0.0
140_-60_3_0,0.0,0.0
140_-60_4_0,0.0,0.0
140_-70_5_0,0.0,0.0
140_-70_6_0,0.0,0.0
140_-80_7_0,0.0,0.0
130_-90_8_0,0.0,0.0
130_-100_9_0,-696.5800000000029,0.0
130_-110_10_0,-696.5800000000029,0.0
280_10_-8_0,-0.0029696403754010487,-0.002978039611329814
280_30_-5_0,-0.004060496394532992,-0.004254518845227856
280_40_-1_0,-0.004989833836231364,-0.005962794663799789
280_40_0_0,-0.005557685454339588,-0.0058880556089587035
210_30_4_0,-0.012274224901344362,-0.016247566603387574
210_10_7_0,-0.0051327022434309675,-0.007174907446889572
210_-90_-9_0,0.0,0.0
210_-80_-8_0,0.0,0.0
210_-80_-7_0,0.0,0.0
140_-60_-2_0,0.0,0.0
140_-60_1_0,0.0,0.0
140_-80_6_0,0.0,0.0
140_-90_8_0,0.0,0.0
140_-100_9_0,-444.5857686200177,0.0
130_-100_-9_0,0.0,0.0
130_-90_-8_0,0.0,0.0
130_-90_-7_0,0.0,0.0
120_-80_-6_0,0.0,0.0
120_-70_-5_0,0.0,0.0
110_-70_-4_0,0.0,0.0
110_-70_-3_0,0.0,0.0
110_-70_-2_0,0.0,0.0
100_-60_-1_0,-0.011106172125882564,-0.04678756948372417
100_-60_0_0,-0.026094016490111123,-0.03485224102476846
90_-70_1_0,-0.0041050784820238625,0.0
90_-70_2_0,-0.06768572690311163,-0.07775630386490676
90_-70_3_0,0.0,0.0
80_-70_4_0,-0.47022839246309955,-105.27631015400985
80_-80_5_0,-0.2905493416237959,-2.080056628394923
70_-90_6_0,0.0,0.0
70_-90_7_0,-4.177235316243568,-5.781936363937982
70_-100_8_0,0.0,0.0
60_-110_9_0,-21.981832272269752,-126.3421155828581
60_-120_10_0,-86.58462114101336,-23.04877854960316
50_-130_10_0,-694.4800000000047,-671.5900000000241
50_-140_10_0,-694.4800000000047,-109.12022852959598
280_-60_-9_0,-0.00010337190964117893,-0.00011004163210318445
280_-60_-8_0,-5.7638306316163175e-05,-5.82027027411097e-05
280_-50_-7_0,-6.436138972302103e-05,-7.185449179843293e-05
280_-40_-6_0,-0.00010739891299584458,-0.00012233847670922236
280_-40_-5_0,-5.2835222459447156e-05,-8.964074767397841e-05
280_-30_-4_0,-0.00011357459828092917,-0.00016670055944512446
280_-30_-3_0,-8.151229139038349e-05,-8.870681531864983e-05
280_-30_-2_0,-6.402430991441326e-05,-0.00014580668382373888
280_-30_-1_0,-5.963573971121453e-05,-7.108950810436611e-05
280_-30_0_0,-7.678048714503977e-05,-0.00012035659039911703
280_-30_1_0,-9.305851435870033e-05,-0.00014144775252717133
280_-30_2_0,-0.00010345308747537379,-0.00019508240847440714
280_-30_3_0,-0.0001970752084823471,-0.00039782069462895647
210_-40_4_0,-8.414123764634402e-05,-9.678908011862006e-05
210_-40_5_0,-0.0002389989494012944,-0.0006175115803695641
210_-50_6_0,-0.00010247022266654648,-0.00025420286466589995
210_-60_7_0,-4.63089547631314e-05,-0.00030813778703172
210_-60_8_0,-0.00010491057447489578,-0.0003754783012607933
210_-70_9_0,-0.00014022865227179278,-0.0001431812908347792
210_-80_-9_0,-3.543193805545307e-05,-3.0676297018664156e-05
210_-70_-7_0,0.0,0.0
210_-60_-6_0,0.0,0.0
210_-60_-5_0,0.0,0.0
210_-50_-4_0,-7.861296763322605e-05,-0.0005262747839489503
210_-50_-3_0,0.0,0.0
210_-50_-2_0,0.0,0.0
