,0,1
280_0_-9_0,-0.00442535365738585,-0.004940648978450502
280_0_-8_0,-0.0033747292793896676,-0.0035774142091955807
280_10_-7_0,-0.004156929318987905,-0.0046908850216810655
280_20_-6_0,-0.00519073073935197,-0.005608625961180603
280_20_-5_0,-0.004025944921298026,-0.006672088081346556
280_30_-4_0,-0.0062476503596042825,-0.006724718258110662
280_30_-3_0,-0.005923148266748087,-0.006715402300537651
280_30_-2_0,-0.006982041177654877,-0.012160465134392296
280_30_-1_0,-0.0062027022956021825,-0.0065506957268992696
280_30_0_0,-0.006344744687972358,-0.009975620792102785
280_30_1_0,-0.006771022290406055,-0.00735187607032163
280_30_2_0,-0.008166483443726308,-0.00979412081913123
280_30_3_0,-0.009592032771492075,-0.012959222472473067
210_20_4_0,-0.009098925710785813,-0.013630491813814129
210_20_5_0,-0.009031024638448253,-0.01563615628831404
210_10_6_0,-0.007895240709800376,-0.011274555076361515
210_0_7_0,-0.008406968378147741,-0.009753461315806511
210_0_8_0,-0.018915812218450352,-0.01707073720787205
210_-10_9_0,-0.01436812852462845,-0.013719532830493899
210_-20_10_0,-0.013822924076238093,-0.0170308708459876
210_-30_10_0,-0.008904804758243349,-0.009336244307294574
210_-40_10_0,-0.0073633602052708405,-0.008655620143227039
210_-50_10_0,-449.73553166001324,-0.007356444027352423
210_-60_10_0,-689.8900000000085,-76.53318851626832
210_-70_10_0,-0.0003325203687039647,-0.0003420679996318808
210_-80_10_0,-293.4944940832889,-0.0003929057383650332
210_-90_10_0,-172.67223831977896,-690.8500000000078
210_-100_10_0,-698.1100000000016,-33.686142683897316
210_-110_10_0,0.0,0.0
210_-120_10_0,0.0,0.0
210_-130_10_0,-699.0700000000007,0.0
140_-140_10_0,-699.0700000000007,0.0
280_30_-9_0,-0.012389349041110644,-0.017945390748344295
280_40_-8_0,-0.011665667066637065,-0.012796034876749168
280_40_-7_0,-0.008690005305909415,-0.012669761702715703
280_50_-6_0,-0.008211232208966452,-0.010799189384214296
280_50_-5_0,-0.009671334392139908,-0.01165840498103952
280_60_-4_0,-0.007965773096184584,-0.007959207196557476
280_60_-3_0,-0.011339819262610115,-0.011612128239191943
280_60_-2_0,-0.015739953107288117,-0.0162726539842366
280_60_-1_0,-0.013998725910161634,-0.01970457010573247
280_60_0_0,-0.013381077070367736,-0.013304365590416834
280_60_1_0,-0.018683622755055515,-0.01985343716077981
280_60_2_0,-0.015063595632059399,-0.015089182599804199
280_60_3_0,-0.0183959694688814,-0.018335598912418496
210_50_4_0,-0.0168645063795926,-0.03665558627190178
210_50_5_0,-0.026617037981474807,-0.03397473390337756
210_40_6_0,-0.024302150362566416,-0.030370177973845808
210_40_7_0,-0.027831614271914867,-0.035634483456006644
210_30_8_0,-0.03722148206173927,-0.033448636432183265
210_20_9_0,-0.009181436792981279,-0.01655519634845064
210_10_10_0,-0.016696159149968158,-0.03336040185504088
210_0_10_0,-0.020112094438310562,-0.022956374433825658
210_-10_10_0,-0.02186164259761206,-0.01663009754924616
140_-110_10_0,-25.98399357836108,-757.9192329369323
280_50_-7_0,-0.01635308110584942,-0.021205913545121014
280_60_-5_0,-0.013168029510030875,-0.014711008321993202
280_70_-2_0,-0.015370221004962109,-0.017518516429220452
280_70_-1_0,-0.016744396493823595,-0.01807088624340438
280_70_0_0,-0.02019832096651394,-0.020284810606337186
280_70_1_0,-0.021280999091353295,-0.028923994348096595
210_60_4_0,-0.046469279920430824,-0.03988768795651994
210_50_6_0,-0.02856925640083063,-0.04620035612579802
140_-90_-9_0,0.0,0.0
140_-80_-8_0,0.0,0.0
140_-70_-7_0,0.0,0.0
140_-70_-6_0,0.0,0.0
140_-60_-5_0,0.0,0.0
140_-60_-4_0,0.0,0.0
140_-60_-3_0,0.0,0.0
140_-50_-2_0,0.0,0.0
140_-50_-1_0,0.0,0.0
140_-50_0_0,0.0,0.0
140_-50_1_0,0.0,0.0
140_-60_2_0,0.0,0.0
140_-60_3_0,0.0,0.0
140_-60_4_0,0.0,0.0
140_-70_5_0,0.0,0.0
140_-70_6_0,0.0,0.0
140_-80_7_0,0.0,0.0
130_-90_8_0,0.0,0.0
130_-100_9_0,-696.5800000000029,0.0
130_-110_10_0,-696.5800000000029,0.0
280_10_-8_0,-0.005927286532062727,-0.0062977997370828485
280_30_-5_0,-0.0062130828364180815,-0.006700808714136023
280_40_-1_0,-0.009542421259145954,-0.010006029665012382
280_40_0_0,-0.010497174858817748,-0.010537976352549158
210_30_4_0,-0.010372567884149605,-0.03396773655758384
210_10_7_0,-0.012048766659420462,-0.01566405124926974
210_-90_-9_0,0.0,0.0
210_-80_-8_0,0.0,0.0
210_-80_-7_0,0.0,0.0
140_-60_-2_0,0.0,0.0
140_-60_1_0,0.0,0.0
140_-80_6_0,0.0,0.0
140_-90_8_0,0.0,0.0
140_-100_9_0,-444.5857686200177,0.0
130_-100_-9_0,0.0,0.0
130_-90_-8_0,0.0,0.0
130_-90_-7_0,0.0,0.0
120_-80_-6_0,0.0,0.0
120_-70_-5_0,0.0,0.0
110_-70_-4_0,0.0,0.0
110_-70_-3_0,0.0,0.0
110_-70_-2_0,0.0,0.0
100_-60_-1_0,-0.020898321417448212,-0.04678756948372417
100_-60_0_0,-0.03842875822836933,-0.03676225315568467
90_-70_1_0,-0.027633252994056542,-0.418731209178954
90_-70_2_0,-0.22135920677800486,-0.7808259809927874
90_-70_3_0,0.0,0.0
80_-70_4_0,-0.8288675431925034,-105.27631015400985
80_-80_5_0,-0.6341266091338927,-2.080056628394923
70_-90_6_0,-0.5788064129454953,0.0
70_-90_7_0,-9.993739642257992,-12.070648263075515
70_-100_8_0,0.0,0.0
60_-110_9_0,-25.41070817550766,-126.3421155828581
60_-120_10_0,-86.58462114101336,-200.94531542809642
50_-130_10_0,-694.4800000000047,-671.5900000000241
50_-140_10_0,-694.4800000000047,-109.12022852959598
280_-60_-9_0,-0.00014775630437157734,-0.0001585444235920925
280_-60_-8_0,-9.377431405697604e-05,-9.72640543994208e-05
280_-50_-7_0,-0.00012939078487659965,-0.00015235411491042934
280_-40_-6_0,-0.00020892492672261876,-0.0002657633453515057
280_-40_-5_0,-0.00012483559736400503,-0.00017312115917806432
280_-30_-4_0,-0.0002060231592430304,-0.00029280816611883866
280_-30_-3_0,-0.00018548088372475512,-0.00039568701588550497
280_-30_-2_0,-0.0001426518747087427,-0.00014580668382373888
280_-30_-1_0,-0.00011008360569363855,-0.0001663371682216235
280_-30_0_0,-0.00014974354225825388,-0.00024009046297820413
280_-30_1_0,-0.00022001220388435494,-0.000306236378558314
280_-30_2_0,-0.0003208731561619659,-0.0004008754732113489
280_-30_3_0,-0.0004623745452916366,-0.0014637566266139709
210_-40_4_0,-0.00020779733936616857,-0.0008009916181990383
210_-40_5_0,-0.00043863220737990036,-0.0006175115803695641
210_-50_6_0,-0.00017528217202341582,-0.00025420286466589995
210_-60_7_0,-0.00013671829940044798,-0.00030813778703172
210_-60_8_0,-0.00025513841097830707,-0.0003754783012607933
210_-70_9_0,-0.00030841711176316194,-0.0003269897595894652
210_-80_-9_0,-6.217695541715958e-05,-8.488035494104228e-05
210_-70_-7_0,0.0,0.0
210_-60_-6_0,0.0,0.0
210_-60_-5_0,0.0,0.0
210_-50_-4_0,-0.0001970467366727625,-0.0005262747839489503
210_-50_-3_0,0.0,0.0
210_-50_-2_0,0.0,0.0
210_-50_-1_0,0.0,0.0
210_-50_0_0,0.0,0.0
140_-50_2_0,0.0,0.0
140_-50_3_0,-1.3462362515688637e-05,-0.0010444678378345915
140_-60_5_0,0.0,0.0
140_-80_8_0,-7.820777793338974e-05,-5.241347899547491e-05
140_-90_9_0,0.0,0.0
140_-100_10_0,-144.4380971234599,-686.2600000000116
140_-100_-9_0,0.0,0.0
140_-100_-8_0,0.0,0.0
140_-90_-7_0,0.0,0.0
140_-80_-6_0,0.0,0.0
140_-80_-5_0,0.0,0.0
140_-70_-4_0,0.0,0.0
130_-70_-3_0,0.0,0.0
130_-70_-2_0,0.0,0.0
130_-70_-1_0,0.0,0.0
120_-70_0_0,0.0,0.0
120_-70_1_0,0.0,0.0
110_-70_2_0,0.0,0.0
110_-70_3_0,0.0,0.0
110_-80_4_0,0.0,0.0
100_-80_5_0,-0.02459679718689213,0.0
100_-90_6_0,0.0,0.0
90_-100_7_0,0.0,0.0
90_-100_8_0,-1.4932699574568897,-0.05247759128840073
90_-110_9_0,-42.674195933681695,-100.02620514862998
80_-120_10_0,-180.9889956237814,-213.52416947813876
80_-130_10_0,-181.07648181291913,-480.3400000001867
70_-140_10_0,-262.1949082098371,-531.3100000001434
70_-150_10_0,-232.35419624140656,-365.7765195731953
70_-160_10_0,-199.29283180590414,-376.59273870701054
60_-170_10_0,-158.74521614117472,-581.4700000001008
60_-180_10_0,-111.51033919994114,-635.6500000000547
50_-240_10_0,-905.369935600004,-199.02626826563244
280_40_-9_0,-0.017008549103093448,-0.016260825180346127
280_50_-8_0,-0.014329874976567458,-0.01470734097189835
280_60_-6_0,-0.016160225292375933,-0.018856653570185095
280_70_-5_0,-0.017456436598018883,-0.019323285642089374
280_70_-4_0,-0.01644825291603414,-0.018487077661029486
280_70_-3_0,-0.016401000328612258,-0.020585900853866614
280_80_-1_0,-0.02054619822527238,-0.02396791352986775
280_80_0_0,-0.02233366468863424,-0.022663970098842967
280_70_2_0,-0.026244803521718908,-0.028334253745950496
280_70_3_0,-0.027253376506019722,-0.030770286428876532
210_70_4_0,-0.030801977469328938,-0.04902190093077649
210_60_5_0,-0.029778457201042274,-0.04775390880155247
210_50_7_0,-0.061408678713262055,-0.06369850730437174
210_40_8_0,-0.034934234984018354,-0.042823994688472325
210_30_9_0,-0.017447443278064304,-0.03052225991319951
210_20_10_0,-0.016609595442239496,-0.03205052941527012
140_-80_-9_0,-3.20189338619601e-05,-1.918763609824892e-05
140_-70_-8_0,-0.00037337524102349186,-0.00046874884532838065
140_-60_-6_0,0.0,0.0
140_-50_-5_0,-0.003004123338050113,-0.0038172765700166212
140_-50_-4_0,-0.00011695631329372398,-0.0016665557496839262
140_-50_-3_0,0.0,0.0
140_-40_-1_0,-0.001376498676899352,-0.011243104312888755
140_-40_0_0,-1.8940863511267862e-06,-0.0010220822187649266
140_-50_4_0,-0.00013971594802753478,-0.00019091336673244695
