,0,1
280_0_-9_0,-0.007658271654030418,-0.007871445810760193
280_0_-8_0,-0.007247311786604947,-0.00819108090462983
280_10_-7_0,-0.007577006003840269,-0.008112065878775743
280_20_-6_0,-0.009265657882464716,-0.009891122858485514
280_20_-5_0,-0.0083303614945772,-0.008619194555742268
280_30_-4_0,-0.010242397317509233,-0.015468397887699074
280_30_-3_0,-0.010304310174825655,-0.012218963438886149
280_30_-2_0,-0.010253500875480104,-0.012160465134392296
280_30_-1_0,-0.010097042070268717,-0.011054819130303092
280_30_0_0,-0.012960492347878248,-0.019080138619578357
280_30_1_0,-0.009199792520068735,-0.009799437789385804
280_30_2_0,-0.011287702372081109,-0.00979412081913123
280_30_3_0,-0.01697638746932805,-0.018366810750963247
210_20_4_0,-0.013638340308856705,-0.01750774569092976
210_20_5_0,-0.01384246148860319,-0.01563615628831404
210_10_6_0,-0.017972752309513628,-0.01798875640446264
210_0_7_0,-0.01462018456178853,-0.019244615033756855
210_0_8_0,-0.016397452633895505,-0.019206968594907968
210_-10_9_0,-0.01748867701935168,-0.0188218747279164
210_-20_10_0,-0.02016290343885915,-0.03299090740364902
210_-30_10_0,-0.010218319221165399,-0.011288798024033224
210_-40_10_0,-0.009312423328555523,-0.010490710623937452
210_-50_10_0,-449.73553166001324,-0.007492710785610854
210_-60_10_0,-689.8900000000085,-76.53318851626832
210_-70_10_0,-0.0006067068688709646,-0.0006486696300898331
210_-80_10_0,-293.4944940832889,-0.0006937372826828188
210_-90_10_0,-172.67223831977896,-690.8500000000078
210_-100_10_0,-698.1100000000016,-33.686142683897316
210_-110_10_0,0.0,0.0
210_-120_10_0,0.0,0.0
210_-130_10_0,-699.0700000000007,0.0
140_-140_10_0,-699.0700000000007,0.0
280_30_-9_0,-0.019267945434734694,-0.02418157498970036
280_40_-8_0,-0.024010963630093182,-0.02858762756241324
280_40_-7_0,-0.020070617782370542,-0.018844580501936985
280_50_-6_0,-0.01963741376232141,-0.02174779166124113
280_50_-5_0,-0.018871847522779966,-0.0208693992512849
280_60_-4_0,-0.02406579337765003,-0.025424072628178293
280_60_-3_0,-0.02077545531224508,-0.02397277963098453
280_60_-2_0,-0.017955109011316875,-0.01884329307782175
280_60_-1_0,-0.018191990179112032,-0.01970457010573247
280_60_0_0,-0.01947458992705868,-0.02003443841624422
280_60_1_0,-0.022540128295254744,-0.026154803713573222
280_60_2_0,-0.026875388485701635,-0.026818474270805255
280_60_3_0,-0.03128595886423443,-0.03476790942490793
210_50_4_0,-0.0339494180418785,-0.03665558627190178
210_50_5_0,-0.03881515000910516,-0.05398915256773375
210_40_6_0,-0.038702861726953953,-0.05547961363698045
210_40_7_0,-0.04181310963909686,-0.04884177105086867
210_30_8_0,-0.042490886862542925,-0.055446345914084635
210_20_9_0,-0.027111690077248157,-0.04052817091037941
210_10_10_0,-0.02146117804313459,-0.035069572144648016
210_0_10_0,-0.035351703938670376,-0.03277656396297065
210_-10_10_0,-0.024082858647009604,-0.03064746204176244
140_-110_10_0,-25.98399357836108,-757.9192329369323
280_50_-7_0,-0.02012017510200435,-0.030909046877422436
280_60_-5_0,-0.02208489043614709,-0.024618895673770052
280_70_-2_0,-0.029768061867791195,-0.03206995121885926
280_70_-1_0,-0.029012734571722133,-0.03559649726035953
280_70_0_0,-0.031195079164902238,-0.03368813311908864
280_70_1_0,-0.037254659261589794,-0.038553287793409045
210_60_4_0,-0.03648689347563041,-0.07395509139303054
210_50_6_0,-0.03875952906402017,-0.054424596957408075
